water_intake,exercise,working_hours,sleep,diet,stress,tips
1.5,1.0,8.0,6,2,5,"Drink more water and take regular breaks."
2.0,2.5,6.0,7,3,3,"Great hydration! Keep up the exercise."
1.0,0.0,10.0,5,1,7,"Increase your water intake and try to exercise more."
0.5,1.0,9.0,6,2,6,"Work on both your hydration and exercise habits."
2.5,3.0,5.0,8,4,2,"Excellent! Maintain your hydration and activity levels."
1.8,2.0,8.0,7,3,3,"Moderate hydration; keep up the exercise for better sleep."
2.2,1.5,9.0,6,4,2,"Great hydration! Incorporate more fruits and vegetables in your diet."
1.5,3.5,5.0,8,2,7,"Excellent water intake! Maintain exercise for stress relief."
0.8,1.0,10.0,5,5,9,"Increase your water intake; consider stress management techniques."
1.0,2.5,6.0,6,3,6,"Hydrate well and focus on a balanced diet for overall health."
1.2,3.0,7.0,7,2,5,"You're doing well! Try to improve your sleep quality."
1.6,2.0,8.0,4,6,8,"Keep exercising regularly to reduce stress levels."
2.0,1.5,9.0,6,3,7,"Good job on hydration! Work on stress management."
1.4,2.5,7.0,8,4,3,"Maintain hydration; set specific health goals to improve wellness."
2.5,2.0,5.0,6,2,4,"Hydration is key! Try to include more physical activity."
1.0,1.0,9.0,5,5,2,"Hydrate regularly and aim for better sleep patterns."
1.9,2.0,6.0,7,3,1,"You're on the right track! Keep balancing exercise and diet."
0.7,2.5,8.0,6,6,7,"Consider increasing water intake; try relaxation techniques."
1.3,1.5,10.0,5,4,6,"Improve hydration and consider stress-reduction strategies."
2.1,3.0,7.0,8,2,3,"Excellent exercise routine! Stay hydrated to support recovery."
